,mkt_cap,beta,book_value,sector,eps,month_ago,year_ago,prev_date,analysis_date,trade_date,pred_date,volume
WDC,16346359808,2.1905229999999998,10214000000,Technology,0.6579999537666281,44.54999923706055,63.22419738769531,56.5,55.790000915527344,56.59000015258789,53.88999938964844,4330400.0
PYPL,131140976640,0.8621850000000001,16139000000,Financial Services,2.098000156884104,113.66999816894531,87.16999816894531,115.48999786376952,111.4499969482422,112.04000091552734,110.4000015258789,13820200.0
NEE,101272797184,0.14521199999999998,34910000000,Utilities,6.959000203225982,204.5500030517578,166.50692749023438,209.1699981689453,211.3800048828125,209.38999938964844,207.1699981689453,1318500.0
UPS,102214770688,1.423341,4423000000,Industrials,5.4790002723120805,101.6999969482422,116.82093811035156,120.58000183105469,118.75,119.80999755859376,119.47000122070312,4171100.0
EAF,3224971776,,-881618000,Industrials,2.8079999666075683,11.199999809265137,18.13089179992676,11.359999656677244,11.100000381469727,11.18000030517578,11.449999809265135,628000.0
ALKS,3380605440,1.493837,1091168000,Healthcare,,22.149999618530273,44.790000915527344,20.559999465942386,21.86000061035156,23.170000076293945,23.15999984741211,2551900.0
FLIR,6843711488,1.584424,1911891000,Technology,2.015000139103362,53.4000015258789,58.84280395507813,51.41999816894531,50.40999984741211,50.52000045776367,49.65999984741211,1169000.0
LEG,5116865536,1.126898,1194700000,Consumer Cyclical,2.14000014932787,37.95000076293945,42.298805236816406,39.310001373291016,38.97999954223633,40.29999923706055,39.97000122070313,1964400.0
EMR,40776294400,1.473507,8526000000,Industrials,3.6769999052742715,66.09999847412111,71.9619140625,66.66000366210939,66.30000305175781,67.29000091552734,64.87999725341797,3196500.0
MSFT,1077892284416,1.016941,102330000000,Technology,5.059999909585196,134.14999389648438,107.9175796508789,141.33999633789062,141.02999877929688,140.35000610351562,136.27000427246094,16605900.0
ANSS,17680357376,1.6559400000000002,2684381000,Technology,4.912000208175913,200.8699951171875,172.00999450683594,213.1499938964844,210.66000366210938,207.8000030517578,203.1199951171875,247300.0
JAZZ,7914259456,1.02106,2730447000,Healthcare,8.047000607526508,138.10000610351562,177.72999572753906,138.05000305175778,138.75999450683594,141.47999572753906,139.3800048828125,225600.0
CTAS,26925107200,1.115171,3002721000,Industrials,7.991000200778898,235.67999267578125,209.01097106933597,261.69000244140625,260.69000244140625,262.85000610351557,260.44000244140625,382000.0
BIO,9568537600,1.393168,4863855000,Healthcare,19.00400064590153,306.79998779296875,318.1099853515625,324.3800048828125,320.94000244140625,320.8900146484375,314.8999938964844,109700.0
RBC,3430134016,1.513903,2414900000,Industrials,5.932999981336713,80.7300033569336,80.1667251586914,80.56999969482422,80.11000061035156,80.61000061035156,79.62000274658203,304300.0
UGI,8962458624,0.521494,3853000000,Utilities,2.1760001950400483,52.81000137329102,53.54760360717773,50.91999816894531,51.40999984741211,51.209999084472656,51.09000015258789,1750100.0
CTLT,8219783680,1.8052990000000002,1620700000,Healthcare,1.04600002525531,53.77000045776367,40.22000122070313,57.2599983215332,56.40999984741211,58.04999923706055,56.4900016784668,798200.0
OKTA,15138255872,0.995,239444000,Technology,,122.73999786376952,56.709999084472656,140.52999877929688,132.6300048828125,131.99000549316406,130.83000183105472,3097800.0
CACC,9179514880,0.846468,2048900000,Financial Services,31.845999826798447,473.9599914550781,442.4800109863281,492.5,488.3500061035156,486.95001220703125,478.0299987792969,185400.0
FEYE,3318032640,0.632627,619441000,Technology,,14.779999732971193,15.229999542236328,15.949999809265135,16.180000305175778,16.100000381469727,15.0,4002500.0
